X_D1:D0113	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0114	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0116	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0117	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0118	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0119	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0120	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0121	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0122	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0201	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0202	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0203	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0204	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0205	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0206	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0207	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0208	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0209	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0210	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0211	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0212	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0213	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0214	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0215	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0216	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0217	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0218	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0219	0.980719 	0.00928125 	0.00928125 	0.00071875 	
X_D1:D0220	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0221	0.980719 	0.00928125 	0.00928125 	0.00071875 	
X_D1:D0223	0.980719 	0.00928125 	0.00928125 	0.00071875 	
X_D1:D0224	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0225	0.980719 	0.00928125 	0.00928125 	0.00071875 	
X_D1:D0226	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0227	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0301	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0302	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0303	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0304	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0305	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0306	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0307	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0308	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0309	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0311	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0312	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0313	0.9801 	0.0099 	0.0099 	0.0001 	
X_D1:D0314	0.9801 	0.0099 	0.0099 	0.0001 	
